energy	bound difference	node count
-2e0	2.5054398035382057e-85	5e0
-1.97979797979798e0	1.4833824801888928e-85	4e0
-1.9595959595959596e0	3.4971386651668786e-85	5e0
-1.9393939393939394e0	-1.4013053427898565e-85	5e0
-1.9191919191919191e0	-5.3468637358295785e-86	5e0
-1.898989898989899e0	1.4126946499016602e-86	5e0
-1.878787878787879e0	1.0464846651876347e-85	5e0
-1.8585858585858586e0	2.65762421835713e-85	5e0
-1.8383838383838385e0	3.78367919444794e-85	5e0
-1.8181818181818183e0	5.963592709887015e-85	5e0
-1.797979797979798e0	1.0418250376276675e-84	5e0
-1.777777777777778e0	2.9369130155236625e-84	6e0
-1.7575757575757576e0	1.353835160446403e-83	6e0
-1.7373737373737375e0	-9.17180890044369e-84	6e0
-1.7171717171717173e0	2.4675643633061083e-81	6e0
-1.696969696969697e0	-1.0391138137830452e-83	6e0
-1.676767676767677e0	-5.794348089272952e-84	6e0
-1.6565656565656566e0	-4.206006795169215e-84	6e0
-1.6363636363636362e0	-2.95230508402911e-84	6e0
-1.6161616161616161e0	-2.515614862399511e-84	6e0
-1.595959595959596e0	-1.071584504488167e-84	6e0
-1.5757575757575757e0	4.67180787848482e-84	6e0
-1.5555555555555556e0	3.599281855488628e-84	6e0
-1.5353535353535352e0	9.246024286038015e-90	7e0
-1.5151515151515151e0	4.394708641338775e-90	7e0
-1.494949494949495e0	1.683887145589979e-90	7e0
-1.4747474747474747e0	1.0670090937101373e-90	7e0
-1.4545454545454544e0	-6.42205630705182e-99	7e0
-1.4343434343434343e0	2.842021205814166e-100	7e0
-1.414141414141414e0	1.072814423973389e-98	7e0
-1.3939393939393938e0	3.822020715872793e-98	7e0
-1.3737373737373737e0	1.1590363958977611e-97	7e0
-1.3535353535353534e0	1.2143123722018023e-96	8e0
-1.3333333333333333e0	-1.238574872328227e-96	8e0
-1.313131313131313e0	-3.43424229910347e-97	8e0
-1.2929292929292928e0	-2.630719124142804e-97	8e0
-1.2727272727272727e0	-3.1339700237930587e-97	8e0
-1.2525252525252524e0	-3.0167216108140367e-97	8e0
-1.2323232323232323e0	-3.6835225869456746e-97	8e0
-1.212121212121212e0	-3.829448162442759e-97	8e0
-1.1919191919191918e0	-3.805330132196426e-97	8e0
-1.1717171717171717e0	-2.479864480576303e-97	8e0
-1.1515151515151514e0	4.87447350317876e-97	9e0
-1.1313131313131313e0	-7.396657541509596e-97	9e0
-1.1111111111111112e0	-1.1697649289250402e-96	9e0
-1.0909090909090908e0	-1.4750346625102845e-96	9e0
-1.0707070707070707e0	-1.8440401921079756e-96	9e0
-1.0505050505050504e0	-2.369682291978871e-96	9e0
-1.0303030303030303e0	-3.1619253844348053e-96	9e0
-1.0101010101010102e0	-4.513020370105437e-96	9e0
-9.8989898989899e-1	-6.524746831974642e-96	1e1
-9.696969696969697e-1	-1.2609370386678529e-96	1e1
-9.494949494949495e-1	-5.950581217732756e-96	1e1
-9.292929292929293e-1	-1.3345181436217445e-95	1e1
-9.09090909090909e-1	-1.3286414728973912e-95	1e1
