energy	bound difference	node count
-2e2	-7.478618046491899e-2	2e0
-1.9995999199839966e2	-8.89773139058379e-2	2e0
-1.9991998399679935e2	-8.897548252420874e-2	2e0
-1.9987997599519903e2	-6.89545566167456e-2	2e0
-1.998399679935987e2	-8.103659706086089e-2	2e0
-1.997999599919984e2	-6.099466710664072e-2	2e0
-1.9975995199039806e2	-6.309471164699089e-2	2e0
-1.9971994398879775e2	-5.3013520016656324e-2	2e0
-1.9967993598719744e2	-5.511697228779332e-2	2e0
-1.9963992798559713e2	-4.6214034903279744e-2	2e0
-1.9959991998399678e2	-5.8194084397825e-2	2e0
-1.9955991198239647e2	-3.820524791210325e-2	2e0
-1.9951990398079616e2	-5.2380328942578415e-2	2e0
-1.9947989597919582e2	-5.2289187643829824e-2	2e0
-1.9943988797759553e2	-3.2250716935371265e-2	2e0
-1.993998799759952e2	-2.4573676897763182e-2	2e0
-1.9935987197439488e2	-2.420200058469141e-2	2e0
-1.9931986397279456e2	-2.6267263359921994e-2	2e0
-1.9927985597119422e2	-1.8535178068760233e-2	2e0
-1.992398479695939e2	-2.9259214327337784e-2	2e0
-1.991998399679936e2	-9.263483785872183e-3	2e0
-1.9915983196639328e2	-2.3391933336186166e-2	2e0
-1.9911982396479294e2	-1.1636515994313187e-3	2e0
-1.9907981596319263e2	-1.5323574007329161e-2	2e0
-1.9903980796159232e2	4.504528097170562e-3	2e0
-1.9899979995999198e2	4.918007458381151e-3	2e0
-1.9895979195839166e2	1.2621287246296537e-2	2e0
-1.9891978395679135e2	1.0654227906392831e-2	2e0
-1.9887977595519104e2	1.1029319344258194e-2	2e0
-1.988397679535907e2	7.878479052678872e-3	2e0
-1.9879975995199038e2	5.914582308827046e-3	2e0
-1.9875975195039007e2	2.8168583047045274e-2	2e0
-1.9871974394878973e2	1.4054760433170752e-2	2e0
-1.9867973594718944e2	3.391663620426792e-2	2e0
-1.986397279455891e2	2.221730119885546e-2	2e0
-1.985997199439888e2	3.939191069697554e-2	2e0
-1.9855971194238847e2	2.654946565317031e-2	2e0
-1.9851970394078813e2	3.6679871953174244e-2	2e0
-1.9847969593918782e2	3.47402494229525e-2	2e0
-1.984396879375875e2	5.46214456902454e-2	2e0
-1.983996799359872e2	4.295370761020671e-2	2e0
-1.9835967193438685e2	6.28646309250711e-2	2e0
-1.9831966393278657e2	6.0965883707656786e-2	2e0
-1.9827965593118623e2	7.113086424340266e-2	2e0
-1.9823964792958589e2	6.922934225009506e-2	2e0
-1.981996399279856e2	5.751441480404995e-2	2e0
-1.9815963192638526e2	6.658822178420942e-2	2e0
-1.9811962392478495e2	6.468921139210541e-2	2e0
-1.9807961592318463e2	7.488117974254709e-2	2e0
-1.9803960792158432e2	7.297931588518891e-2	2e0
-1.9799959991998398e2	9.294922111447768e-2	2e0
-1.9795959191838367e2	8.129269628350186e-2	2e0
-1.9791958391678335e2	1.0129456242151769e-1	2e0
-1.97879575915183e2	9.943480919865386e-2	2e0
-1.9783956791358273e2	1.0966356287024863e-1	2e0
-1.9779955991198239e2	1.0780112823627652e-1	2e0
-1.9775955191038207e2	1.1683817096605725e-1	2e0
-1.9771954390878176e2	1.0523287444739328e-1	2e0
-1.9767953590718142e2	1.0337253400334252e-1	2e0
-1.976395279055811e2	1.0949623700036074e-1	2e0
-1.975995199039808e2	1.2958510880219545e-1	2e0
