position	wave function
6.503035260887328e0	2.68845941382173e-56
6.506504130472846e0	5.397066500229054e-56
6.509973000058364e0	8.159449850767675e-56
6.5134418696438825e0	1.1002528496739512e-55
6.516910739229401e0	1.3953598122380964e-55
6.520379608814919e0	1.70405834663735e-55
6.523848478400437e0	2.0292288879748244e-55
6.527317347985955e0	2.373864935991363e-55
6.530786217571473e0	2.7410984277445223e-55
6.534255087156991e0	3.1342255932698414e-55
6.537723956742509e0	3.55673350211619e-55
6.541192826328027e0	4.012327504798498e-55
6.544661695913545e0	4.504959771173331e-55
6.548130565499063e0	5.038859127390184e-55
6.551599435084581e0	5.6185623942895094e-55
6.555068304670099e0	6.248947432819447e-55
6.558537174255617e0	6.935268106152186e-55
6.562006043841135e0	7.68319137363236e-55
6.5654749134266535e0	8.49883673844156e-55
6.5689437830121715e0	9.388818278872083e-55
6.57241265259769e0	1.0360289502348364e-54
6.575881522183208e0	1.1420991271792678e-54
6.579350391768726e0	1.2579303065599851e-54
6.582819261354244e0	1.3844297845355483e-54
6.586288130939762e0	1.5225800819516614e-54
6.58975700052528e0	1.673445240657809e-54
6.593225870110798e0	1.838177571778995e-54
6.596694739696316e0	2.0180248897303425e-54
6.600163609281834e0	2.2143382676718633e-54
6.603632478867352e0	2.4285803521429054e-54
6.60710134845287e0	2.662334276794272e-54
6.610570218038388e0	2.917313217454434e-54
6.614039087623906e0	3.1953706332294374e-54
6.617507957209424e0	3.498511240949237e-54
6.6209768267949425e0	3.8289027730406376e-54
6.6244456963804605e0	4.188888571835608e-54
6.627914565965979e0	4.581001076418373e-54
6.631383435551497e0	5.0079762613823205e-54
6.634852305137015e0	5.472769090314078e-54
6.638321174722533e0	5.978570050455946e-54
6.641790044308051e0	6.528822838823209e-54
6.645258913893569e0	7.127243274081057e-54
6.648727783479087e0	7.777839512720805e-54
6.652196653064605e0	8.484933652527934e-54
6.655665522650123e0	9.25318481101254e-54
6.659134392235641e0	1.0087613771382576e-53
6.662603261821159e0	1.0993629293794763e-53
6.666072131406677e0	1.1977056195021505e-53
6.669541000992195e0	1.3044165305340308e-53
6.673009870577713e0	1.4201705417386644e-53
6.6764787401632315e0	1.5456937347927178e-53
6.67994760974875e0	1.6817670240019436e-53
6.683416479334268e0	1.8292300239830024e-53
6.686885348919786e0	1.9889851689501296e-53
6.690354218505304e0	2.1620020984900467e-53
6.693823088090822e0	2.3493223254856374e-53
6.69729195767634e0	2.55206420266044e-53
6.700760827261858e0	2.7714282050642284e-53
6.704229696847376e0	3.00870254670254e-53
6.707698566432894e0	3.2652691504361423e-53
6.711167436018412e0	3.5426099912366104e-53
6.71463630560393e0	3.842313833885248e-53
6.718105175189448e0	4.166083387245495e-53
6.721574044774966e0	4.515742898323772e-53
6.725042914360484e0	4.893246210463106e-53
6.7285117839460025e0	5.300685311187353e-53
6.7319806535315205e0	5.740299396435478e-53
6.735449523117039e0	6.214484479191784e-53
6.738918392702557e0	6.725803571836893e-53
6.742387262288075e0	7.276997472909262e-53
6.745856131873593e0	7.8709961903877295e-53
6.749325001459111e0	8.510931035073237e-53
6.752793871044629e0	9.200147419175946e-53
6.756262740630147e0	9.942218396791102e-53
6.759731610215665e0	1.0740958984584e-52
6.763200479801183e0	1.160044130269867e-52
6.766669349386701e0	1.2525010577653454e-52
6.770138218972219e0	1.35193020508016e-52
6.773607088557737e0	1.4588258837807147e-52
6.777075958143255e0	1.5737150786516317e-52
6.780544827728773e0	1.6971594382609715e-52
6.7840136973142915e0	1.8297573754472585e-52
6.7874825668998096e0	1.972146283085492e-52
6.790951436485328e0	2.1250048707080167e-52
6.794420306070846e0	2.2890556277822446e-52
6.797889175656364e0	2.4650674196797005e-52
6.801358045241882e0	2.653858222610653e-52
6.8048269148274e0	2.8562980040446646e-52
6.808295784412918e0	3.0733117553909157e-52
6.811764653998436e0	3.3058826839726935e-52
6.815233523583954e0	3.5550555715977636e-52
6.818702393169472e0	3.821940307300856e-52
6.82217126275499e0	4.107715602116663e-52
6.825640132340508e0	4.413632894029886e-52
6.829109001926026e0	4.741020451546564e-52
6.832577871511544e0	5.091287684632068e-52
6.8360467410970625e0	5.465929672073665e-52
6.8395156106825805e0	5.8665319146419945e-52
6.842984480268099e0	6.2947753237511134e-52
6.846453349853617e0	6.752441455648113e-52
6.849922219439135e0	7.241418001503808e-52
6.853391089024653e0	7.763704544119483e-52
6.856859958610171e0	8.321418592319561e-52
6.860328828195689e0	8.916801904457652e-52
6.863797697781207e0	9.55222711283267e-52
6.867266567366725e0	1.0230204661180199e-51
6.870735436952243e0	1.0953390067787513e-51
6.874204306537761e0	1.1724591527162236e-51
6.877673176123279e0	1.254677786357859e-51
6.881142045708797e0	1.342308685022237e-51
6.884610915294315e0	1.435683390805538e-51
6.888079784879833e0	1.5351521198931325e-51
6.8915486544653515e0	1.64108471279068e-51
6.8950175240508695e0	1.7538716270109724e-51
6.898486393636388e0	1.8739249737948055e-51
6.901955263221906e0	2.0016796004869546e-51
6.905424132807424e0	2.1375942202315058e-51
6.908893002392942e0	2.282152590693789e-51
6.91236187197846e0	2.4358647435601252e-51
6.915830741563978e0	2.599268266610376e-51
6.919299611149496e0	2.772929640202548e-51
6.922768480735014e0	2.95744563005285e-51
6.926237350320532e0	3.1534447382392465e-51
6.92970621990605e0	3.361588714400716e-51
6.933175089491568e0	3.582574129149319e-51
6.9362103503788965e0	3.7870456901390404e-51
6.939679219964415e0	4.03411450300543e-51
6.943148089549933e0	4.296236465851452e-51
6.946616959135451e0	4.5742591590212786e-51
6.950085828720969e0	4.869073614172406e-51
6.953554698306487e0	5.1816162962633725e-51
6.957023567892005e0	5.512871162812558e-51
6.960492437477523e0	5.863871802788563e-51
6.963961307063041e0	6.235703657533362e-51
6.967430176648559e0	6.629506326161404e-51
6.970899046234077e0	7.046475957918008e-51
6.974367915819595e0	7.487867734018017e-51
6.977836785405113e0	7.954998441526562e-51
6.981305654990631e0	8.449249141878792e-51
6.9847745245761494e0	8.972067936673476e-51
6.9882433941616675e0	9.524972833408526e-51
6.991712263747186e0	1.0109554713861206e-50
6.995181133332704e0	1.0727480407847586e-50
6.998650002918222e0	1.1380495875125185e-50
7.00211887250374e0	1.2070429498233647e-50
7.005587742089258e0	1.279919548909309e-50
7.009056611674776e0	1.3568797412205767e-50
7.012525481260294e0	1.438133182733018e-50
7.015994350845812e0	1.523899205451709e-50
7.01946322043133e0	1.6144072064414863e-50
7.022932090016848e0	1.7098970496767359e-50
7.026400959602366e0	1.8106194810045404e-50
7.029869829187884e0	1.9168365565156414e-50
7.033338698773402e0	2.02882208461914e-50
7.03680756835892e0	2.146862082117077e-50
7.0402764379444385e0	2.2712552445752347e-50
7.0437453075299565e0	2.4023134312863813e-50
7.047214177115475e0	2.540362165122024e-50
7.050683046700993e0	2.6857411475675366e-50
7.054151916286511e0	2.8388047892345677e-50
7.057620785872029e0	2.9999227561430853e-50
7.061089655457547e0	3.169480532063506e-50
7.064558525043065e0	3.3478799972069487e-50
7.068027394628583e0	3.5355400235487514e-50
7.071496264214101e0	3.732897087067704e-50
7.074965133799619e0	3.940405897179239e-50
7.078434003385137e0	4.1585400436372305e-50
7.081902872970655e0	4.387792661173826e-50
7.085371742556173e0	4.628677112142264e-50
7.088840612141691e0	4.881727687421586e-50
7.092309481727209e0	5.147500325836723e-50
7.0957783513127275e0	5.426573352340083e-50
7.099247220898246e0	5.719548235193493e-50
7.104450525276523e0	6.186451312354393e-50
7.111388264447559e0	6.863691714764615e-50
7.118326003618595e0	7.608624328596261e-50
7.125263742789631e0	8.427310410748886e-50
7.132201481960667e0	9.326282578803249e-50
7.139139221131703e0	1.0312574813023099e-49
7.146076960302739e0	1.1393753797153328e-49
7.1530146994737756e0	1.257795161144543e-49
7.159952438644812e0	1.3873899787298413e-49
7.166890177815848e0	1.5290964728487645e-49
7.173827916986884e0	1.683918449917039e-49
7.18076565615792e0	1.8529306973693347e-49
7.187703395328956e0	2.0372829337679893e-49
7.194641134499992e0	2.2382038923938223e-49
7.2015788736710284e0	2.4570055360414736e-49
7.208516612842065e0	2.6950874000708927e-49
7.215454352013101e0	2.9539410600577252e-49
7.222392091184137e0	3.23515471963944e-49
7.229329830355173e0	3.540417913369794e-49
7.236267569526209e0	3.8715263185750614e-49
7.243205308697245e0	4.230386669351456e-49
7.250143047868281e0	4.619021764955963e-49
