position	wave function
6.501295383571625e0	-1.406666629025849e-54
6.503022561667125e0	-2.809738200723245e-54
6.504749739762625e0	-4.219861258763179e-54
6.506476917858125e0	-5.640535778486834e-54
6.508204095953625e0	-7.075261439716752e-54
6.509931274049125e0	-8.527546163070123e-54
6.511658452144625e0	-1.000091453664988e-53
6.5133856302401245e0	-1.1498916154694748e-53
6.5151128083356245e0	-1.302513388907772e-53
6.516839986431124e0	-1.4583192113912767e-53
6.518567164526624e0	-1.61767649029589e-53
6.520294342622124e0	-1.780958421899984e-53
6.522021520717624e0	-1.9485448113916572e-53
6.523748698813124e0	-2.120822895776298e-53
6.525475876908624e0	-2.2981881714796565e-53
6.527203055004124e0	-2.4810452284103453e-53
6.528930233099624e0	-2.669808592218911e-53
6.530657411195124e0	-2.8649035764681644e-53
6.532384589290624e0	-3.0667671464111677e-53
6.534111767386124e0	-3.275848796058592e-53
6.535838945481624e0	-3.4926114402066544e-53
6.537566123577124e0	-3.717532323089688e-53
6.539293301672624e0	-3.9511039453179014e-53
6.5410204797681235e0	-4.193835010760684e-53
6.5427476578636234e0	-4.446251395038924e-53
6.544474835959123e0	-4.708897137296219e-53
6.546202014054623e0	-4.982335456928135e-53
6.547929192150123e0	-5.2671497969610165e-53
6.549656370245623e0	-5.563944895787571e-53
6.551383548341123e0	-5.873347888984138e-53
6.553110726436623e0	-6.196009442956096e-53
6.554837904532123e0	-6.53260492218129e-53
6.556565082627623e0	-6.883835591848166e-53
6.558292260723123e0	-7.250429857714373e-53
6.560019438818623e0	-7.6331445450432285e-53
6.561746616914123e0	-8.032766218510258e-53
6.563473795009623e0	-8.450112545009056e-53
6.565200973105123e0	-8.886033701325026e-53
6.566928151200623e0	-9.341413828687965e-53
6.5686553292961225e0	-9.81717253625891e-53
6.570382507391622e0	-1.0314266455654688e-52
6.572109685487122e0	-1.0833690848662179e-52
6.573836863582622e0	-1.1376481270348158e-52
6.575564041678122e0	-1.1943715289824145e-52
6.577291219773622e0	-1.2536514270983647e-52
6.579018397869122e0	-1.315604521558977e-52
6.580745575964622e0	-1.3803522671152871e-52
6.582472754060122e0	-1.4480210706103995e-52
6.584199932155622e0	-1.5187424954836963e-52
6.585927110251122e0	-1.5926534735262966e-52
6.587654288346622e0	-1.6698965241594731e-52
6.589381466442122e0	-1.750619981515337e-52
6.591108644537622e0	-1.8349782296068764e-52
6.592835822633122e0	-1.9231319458826995e-52
6.594563000728622e0	-2.0152483534702507e-52
6.5962901788241215e0	-2.11150148241983e-52
6.598017356919621e0	-2.2120724402710052e-52
6.599744535015121e0	-2.31714969227206e-52
6.601471713110621e0	-2.4269293515929498e-52
6.603198891206121e0	-2.5416154798818713e-52
6.604926069301621e0	-2.66142039852607e-52
6.606653247397121e0	-2.7865650109878666e-52
6.608380425492621e0	-2.917279136597683e-52
6.610107603588121e0	-3.053801856197239e-52
6.611834781683621e0	-3.1963818700375034e-52
6.613561959779121e0	-3.345277868347659e-52
6.615289137874621e0	-3.500758915003941e-52
6.617016315970121e0	-3.663104844739381e-52
6.618743494065621e0	-3.8326066743485875e-52
6.620470672161121e0	-4.009567028355048e-52
6.6221978502566206e0	-4.1943005796219156e-52
6.6239250283521205e0	-4.3871345054013464e-52
6.62565220644762e0	-4.588408959332034e-52
6.62737938454312e0	-4.798477559909194e-52
6.62910656263862e0	-5.017707895966653e-52
6.63083374073412e0	-5.246482049726097e-52
6.63256091882962e0	-5.48519713798496e-52
6.63428809692512e0	-5.734265872030755e-52
6.63601527502062e0	-5.994117136886429e-52
6.63774245311612e0	-6.265196590508909e-52
6.63946963121162e0	-6.5479672835809025e-52
6.64119680930712e0	-6.842910300554002e-52
6.64292398740262e0	-7.150525422620435e-52
6.64465116549812e0	-7.471331813309463e-52
6.64637834359362e0	-7.805868727424721e-52
6.64810552168912e0	-8.154696244058732e-52
6.6498326997846195e0	-8.518396024441751e-52
6.6515598778801195e0	-8.897572095403516e-52
6.653287055975619e0	-9.292851659247629e-52
6.655014234071119e0	-9.704885930862238e-52
6.656741412166619e0	-1.0134351002911565e-51
6.658468590262119e0	-1.0581948739978031e-51
6.660195768357619e0	-1.1048407702548e-51
6.661922946453119e0	-1.153448410175934e-51
6.663650124548619e0	-1.2040962785853583e-51
6.665377302644119e0	-1.2568658259301478e-51
6.667104480739619e0	-1.3118415735598618e-51
6.668831658835119e0	-1.3691112224752793e-51
6.670558836930619e0	-1.4287657656514534e-51
6.672286015026119e0	-1.4908996040429036e-51
6.674013193121619e0	-1.5556106663818423e-51
6.675740371217119e0	-1.62300053288316e-51
6.6774675493126185e0	-1.693174562973143e-51
6.6791947274081185e0	-1.7662420271617374e-51
6.680921905503618e0	-1.8423162431816952e-51
6.682649083599118e0	-1.921514716520926e-51
6.684376261694618e0	-2.0039592854779386e-51
6.686103439790118e0	-2.0897762708735218e-51
6.687830617885618e0	-2.1790966305553986e-51
6.689557795981118e0	-2.272056118836209e-51
6.691284974076618e0	-2.3687954510086603e-51
6.693012152172118e0	-2.4694604730855595e-51
6.694739330267618e0	-2.5742023369164363e-51
6.696466508363118e0	-2.683177680835907e-51
6.698193686458618e0	-2.796548816003385e-51
6.699920864554118e0	-2.9144839185976404e-51
6.701648042649618e0	-3.0371572280339145e-51
6.703375220745118e0	-3.164749251375357e-51
6.7051023988406175e0	-3.297446974115429e-51
6.7068295769361175e0	-3.4354440775116504e-51
6.708556755031617e0	-3.578941162656415e-51
6.710283933127117e0	-3.7281459814744685e-51
6.712011111222617e0	-3.883273674841973e-51
6.713738289318117e0	-4.0445470180266295e-51
6.715465467413617e0	-4.212196673653381e-51
6.717192645509117e0	-4.38646145240508e-51
6.718919823604617e0	-4.567588581672994e-51
6.720647001700117e0	-4.7558339823770696e-51
6.722374179795617e0	-4.9514625541811603e-51
6.724101357891117e0	-5.154748469334191e-51
6.725828535986617e0	-5.365975475373426e-51
6.727555714082117e0	-5.585437206932068e-51
6.729282892177617e0	-5.813437506899149e-51
6.731010070273117e0	-6.050290757185312e-51
6.7327372483686165e0	-6.296322219354667e-51
6.7344644264641165e0	-6.551868385388657e-51
6.736191604559616e0	-6.817277338854172e-51
6.737918782655116e0	-7.092909126754919e-51
6.739645960750616e0	-7.379136142350956e-51
6.741373138846116e0	-7.676343519239067e-51
6.743100316941616e0	-7.984929536992146e-51
6.744827495037116e0	-8.305306038663368e-51
6.746554673132616e0	-8.637898860468337e-51
6.748281851228116e0	-8.98314827396465e-51
6.750009029323616e0	-9.341509441056553e-51
6.751736207419116e0	-9.713452882159318e-51
6.753463385514616e0	-1.0099464957865408e-50
6.755190563610116e0	-1.0500048364463226e-50
6.756917741705616e0	-1.0915722643665576e-50
6.758644919801116e0	-1.134702470691484e-50
6.7603720978966155e0	-1.1794509374638097e-50
6.7620992759921155e0	-1.2258749930835418e-50
6.763826454087615e0	-1.2740338693391843e-50
6.765553632183115e0	-1.323988760051305e-50
6.767280810278615e0	-1.375802881369302e-50
6.769007988374115e0	-1.4295415337630902e-50
6.770735166469615e0	-1.485272165752371e-50
6.772462344565115e0	-1.5430644394169993e-50
6.774189522660615e0	-1.6029902977330516e-50
6.775916700756115e0	-1.6651240337799423e-50
6.777643878851615e0	-1.729542361865163e-50
6.779371056947115e0	-1.7963244906139194e-50
6.781098235042615e0	-1.865552198072232e-50
6.782825413138115e0	-1.937309908872826e-50
6.784552591233615e0	-2.0116847735144503e-50
6.786279769329115e0	-2.088766749806105e-50
6.7880069474246145e0	-2.1686486865287214e-50
6.7897341255201145e0	-2.251426409368149e-50
6.791461303615614e0	-2.3371988091742144e-50
6.793188481711114e0	-2.4260679326018076e-50
6.794915659806614e0	-2.518139075191105e-50
6.796642837902114e0	-2.613520876945136e-50
6.798370015997614e0	-2.712325420464252e-50
6.800097194093114e0	-2.8146683316979654e-50
6.801824372188614e0	-2.920668883376229e-50
6.803551550284114e0	-3.030450101183026e-50
6.805278728379614e0	-3.144138872736791e-50
6.807005906475114e0	-3.2618660594432297e-50
6.808733084570614e0	-3.383766611287416e-50
6.810460262666114e0	-3.509979684633389e-50
6.812187440761614e0	-3.6406487631008574e-50
6.813914618857114e0	-3.7759217815900046e-50
6.8156417969526135e0	-3.915951253526388e-50
6.8173689750481135e0	-4.060894401399902e-50
6.819096153143613e0	-4.2109132906727697e-50
6.820823331239113e0	-4.366174967132918e-50
6.822550509334613e0	-4.526851597770972e-50
6.824277687430113e0	-4.693120615260076e-50
6.826004865525613e0	-4.865164866119578e-50
6.827732043621113e0	-5.043172762644853e-50
6.829459221716613e0	-5.227338438687279e-50
6.831186399812113e0	-5.417861909370043e-50
6.832913577907613e0	-5.614949234826531e-50
6.834640756003113e0	-5.8188126880501485e-50
6.836367934098613e0	-6.029670926945806e-50
6.838095112194113e0	-6.247749170675102e-50
6.839822290289613e0	-6.473279380388289e-50
6.841549468385113e0	-6.7065004444389e-50
6.8432766464806125e0	-6.947658368177422e-50
6.8450038245761125e0	-7.19700646842295e-50
6.846731002671612e0	-7.4548055727130925e-50
6.848458180767112e0	-7.721324223434104e-50
6.850185358862612e0	-7.996838886935452e-50
6.851912536958112e0	-8.281634167734102e-50
6.853639715053612e0	-8.576003027916479e-50
6.855366893149112e0	-8.880247011847108e-50
6.857094071244612e0	-9.194676476295406e-50
6.858821249340112e0	-9.519610826093207e-50
6.860548427435612e0	-9.855378755438634e-50
6.862275605531112e0	-1.0202318494963072e-49
6.864002783626612e0	-1.0560778064679625e-49
6.865729961722112e0	-1.0931115532934344e-49
6.867457139817612e0	-1.131369928148305e-49
6.869184317913112e0	-1.1708908276818137e-49
6.8709114960086115e0	-1.211713234787233e-49
6.8726386741041114e0	-1.2538772470228514e-49
6.874365852199611e0	-1.2974241056966413e-49
6.876093030295111e0	-1.3423962256278756e-49
6.877820208390611e0	-1.3888372255992736e-49
6.879547386486111e0	-1.4367919595133044e-49
6.881274564581611e0	-1.4863065482667025e-49
6.883001742677111e0	-1.5374284123572504e-49
6.884728920772611e0	-1.59020630523721e-49
6.886456098868111e0	-1.6446903474280698e-49
6.888183276963611e0	-1.7009320614113436e-49
6.889910455059111e0	-1.758984407310452e-49
6.891637633154611e0	-1.818901819379022e-49
6.893364811250111e0	-1.880740243311005e-49
6.895091989345611e0	-1.9445571743884254e-49
6.896819167441111e0	-2.0104116964825776e-49
6.8985463455366105e0	-2.078364521924991e-49
6.90027352363211e0	-2.1484780322644928e-49
6.90200070172761e0	-2.2208163199270848e-49
6.90372787982311e0	-2.2954452307954e-49
6.90545505791861e0	-2.3724324077250184e-49
6.90718223601411e0	-2.4518473350149475e-49
6.90890941410961e0	-2.533761383849777e-49
6.91063659220511e0	-2.6182478587315824e-49
6.91236377030061e0	-2.7053820449194827e-49
6.91409094839611e0	-2.7952412568952793e-49
6.91581812649161e0	-2.8879048878737738e-49
6.91754530458711e0	-2.9834544603765397e-49
6.91927248268261e0	-3.0819736778884173e-49
6.92099966077811e0	-3.1835484776158907e-49
6.92272683887361e0	-3.2882670843669885e-49
6.92445401696911e0	-3.3962200655726655e-49
6.9261811950646095e0	-3.507500387469674e-49
6.927908373160109e0	-3.622203472465343e-49
6.929635551255609e0	-3.74042725770484e-49
6.931362729351109e0	-3.8622722548619314e-49
6.932658112922734e0	-3.956094371720465e-49
6.934385291018234e0	-4.084526308329545e-49
6.936112469113734e0	-4.216869641700779e-49
6.937839647209234e0	-4.353235091998033e-49
6.939566825304734e0	-4.493736255283869e-49
6.941294003400234e0	-4.638489670763241e-49
6.943021181495734e0	-4.787614889398354e-49
6.944748359591234e0	-4.941234543917624e-49
6.946475537686734e0	-5.0994744202420085e-49
6.948202715782234e0	-5.262463530352049e-49
6.949929893877734e0	-5.4303341866195095e-49
6.951657071973234e0	-5.603222077627481e-49
6.9533842500687335e0	-5.781266345502871e-49
6.9551114281642334e0	-5.9646096647865126e-49
6.956838606259733e0	-6.153398322865096e-49
6.958565784355233e0	-6.347782301990075e-49
6.960292962450733e0	-6.547915362909119e-49
6.962020140546233e0	-6.753955130135419e-49
6.963747318641733e0	-6.966063178880598e-49
6.965474496737233e0	-7.184405123677809e-49
6.967201674832733e0	-7.409150708720786e-49
6.968928852928233e0	-7.640473899946007e-49
6.970656031023733e0	-7.878552978884507e-49
6.972383209119233e0	-8.123570638310745e-49
6.974110387214733e0	-8.375714079715724e-49
6.975837565310233e0	-8.635175112632345e-49
6.977564743405733e0	-8.902150255840652e-49
6.979291921501233e0	-9.176840840481193e-49
6.9810190995967325e0	-9.459453115105273e-49
6.982746277692232e0	-9.750198352690404e-49
6.984473455787732e0	-1.0049292959650059e-48
6.986200633883232e0	-1.0356958586867307e-48
6.987927811978732e0	-1.0673422242781148e-48
6.989654990074232e0	-1.099891640855591e-48
6.991382168169732e0	-1.1333679155363122e-48
6.993109346265232e0	-1.16779542638067e-48
6.994836524360732e0	-1.203199134552129e-48
6.996563702456232e0	-1.2396045966974709e-48
6.998290880551732e0	-1.2770379775505548e-48
7.000018058647232e0	-1.3155260627627323e-48
7.001745236742732e0	-1.355096271962966e-48
7.003472414838232e0	-1.3957766720509168e-48
7.005199592933732e0	-1.4375959907261515e-48
7.006926771029232e0	-1.4805836302566658e-48
7.0086539491247315e0	-1.5247696814899588e-48
7.010381127220231e0	-1.570184938109945e-48
7.012108305315731e0	-1.6168609111429413e-48
7.013835483411231e0	-1.664829843716017e-48
7.015562661506731e0	-1.7141247260710632e-48
7.017289839602231e0	-1.7647793108379035e-48
7.019017017697731e0	-1.8168281285697633e-48
7.020744195793231e0	-1.8703065035445762e-48
7.022471373888731e0	-1.925250569835391e-48
7.024198551984231e0	-1.9816972876534236e-48
7.025925730079731e0	-2.0396844599670528e-48
7.027652908175231e0	-2.0992507494003822e-48
7.029380086270731e0	-2.1604356954146436e-48
7.031107264366231e0	-2.2232797317760434e-48
7.032834442461731e0	-2.2878242043135858e-48
7.0345616205572306e0	-2.354111388970282e-48
7.0362887986527305e0	-2.4221845101513594e-48
7.03801597674823e0	-2.4920877593729662e-48
7.03974315484373e0	-2.5638663142149737e-48
7.04147033293923e0	-2.6375663575814286e-48
7.04319751103473e0	-2.7132350972722536e-48
7.04492468913023e0	-2.790920785869813e-48
7.04665186722573e0	-2.8706727409438907e-48
7.04837904532123e0	-2.952541365578719e-48
7.05010622341673e0	-3.0365781692258393e-48
7.05183340151223e0	-3.1228357888862354e-48
7.05356057960773e0	-3.2113680106254213e-48
7.05528775770323e0	-3.302229791425281e-48
7.05701493579873e0	-3.3954772813761975e-48
7.05874211389423e0	-3.4911678462132346e-48
7.06046929198973e0	-3.589360090199889e-48
7.0621964700852295e0	-3.690113879363345e-48
7.0639236481807295e0	-3.793490365084726e-48
7.065650826276229e0	-3.899552008048002e-48
7.067378004371729e0	-4.008362602551471e-48
7.069105182467229e0	-4.1199873011853587e-48
7.070832360562729e0	-4.2344926398792206e-48
7.072559538658229e0	-4.351946563322812e-48
7.074286716753729e0	-4.4724184507643e-48
7.076013894849229e0	-4.5959791421894007e-48
7.077741072944729e0	-4.722700964884971e-48
7.079468251040229e0	-4.8526577603910325e-48
7.081195429135729e0	-4.9859249118447624e-48
7.082922607231229e0	-5.122579371720094e-48
7.084649785326729e0	-5.262699689966596e-48
7.086376963422229e0	-5.40636604255153e-48
7.088104141517729e0	-5.55366026040832e-48
7.0898313196132285e0	-5.704665858795447e-48
7.0915584977087285e0	-5.85946806706907e-48
7.093285675804228e0	-6.01815385887343e-48
7.095012853899728e0	-6.180811982752168e-48
7.096740031995228e0	-6.34753299318438e-48
