mass scale factor	scattering length real	scattering length imag
8e-1	7.655586854666721e0	-3.66256568500803e-13
8.004004004004004e-1	7.2837954485925485e0	-1.472589645335099e-13
8.008008008008008e-1	6.9077545905091275e0	-6.457465693860919e-13
8.012012012012012e-1	6.52735547001086e0	-8.401778609968667e-13
8.016016016016017e-1	6.142477383007811e0	4.973387715917352e-13
8.02002002002002e-1	5.7530032077118385e0	-8.590958658903641e-13
8.024024024024025e-1	5.358809056717005e0	1.142066574509556e-12
8.028028028028028e-1	4.959766971717434e0	6.257668456961822e-13
8.032032032032033e-1	4.5557452280884805e0	-2.3473845859213088e-14
8.036036036036036e-1	4.146608543660511e0	4.993857148516919e-14
8.040040040040041e-1	3.7322160728430003e0	-3.3625675268001365e-13
8.044044044044044e-1	3.312421930565287e0	7.862968348621675e-13
8.048048048048049e-1	2.887078403512377e0	2.9975973627656173e-13
8.052052052052052e-1	2.4560276287498244e0	-2.3781010145420743e-13
8.056056056056057e-1	2.0191113233674196e0	6.22694991330774e-13
8.06006006006006e-1	1.5761633677312255e0	-3.0431308200503465e-13
8.064064064064065e-1	1.1270104068309443e0	5.457462844569561e-13
8.068068068068068e-1	6.71475974373398e-1	5.472375625418771e-13
8.072072072072073e-1	2.0937570749228543e-1	7.744407808564496e-13
8.076076076076076e-1	-2.594811972452482e-1	-5.006406540146428e-13
8.080080080080081e-1	-7.352921604200301e-1	-8.922647452643555e-14
8.084084084084084e-1	-1.2182633205379954e0	-2.459454770025991e-13
8.088088088088089e-1	-1.7086072497352869e0	-3.956237228244752e-13
8.092092092092092e-1	-2.2065437914379333e0	-3.9910024658216814e-13
8.096096096096097e-1	-2.7123029332489583e0	5.658229544865271e-13
8.1001001001001e-1	-3.2261210927551662e0	1.7390321502283403e-13
8.104104104104104e-1	-3.74824795956514e0	1.0258296385524475e-12
8.108108108108109e-1	-4.278938939838369e0	3.712551305953577e-13
8.112112112112112e-1	-4.818461547058684e0	-2.841921776677691e-13
8.116116116116117e-1	-5.367093153742897e0	8.536108764540224e-13
8.12012012012012e-1	-5.925122538557966e0	8.846875998451135e-13
8.124124124124125e-1	-6.49285208151977e0	-1.0278381026094248e-12
8.128128128128128e-1	-7.0705942944483455e0	1.0847353310861597e-12
8.132132132132133e-1	-7.6586755542107054e0	4.697718746963023e-14
8.136136136136136e-1	-8.257436489409548e0	6.671747872532266e-15
8.140140140140141e-1	-8.867232179977735e0	-6.541687161528289e-13
8.144144144144144e-1	-9.488433231238355e0	-2.480776681411631e-13
8.148148148148149e-1	-1.0121426141861246e1	1.0611809884402464e-12
8.152152152152152e-1	-1.0766615317830164e1	8.933126494719592e-13
8.156156156156157e-1	-1.1424421349281698e1	1.416627796050485e-13
8.16016016016016e-1	-1.2095286246027067e1	-7.605829086497288e-13
