distance	scattering length real	scattering length imag
1.013879765808022e2	-5.973762920683377e0	9.80680945187449e-13
1.1026914288052437e2	-8.079815015660333e0	-1.0985919718846777e-12
1.227027757001354e2	-1.0010930314132814e1	1.0358124492684165e-12
1.2980770873991315e2	-1.0887283272518095e1	1.0434912770686852e-12
1.4046510829957975e2	-1.1890397574980316e1	-2.8628677075246526e-13
1.5467497437913522e2	-1.2725278084663284e1	2.9273823326476455e-13
1.6177990741891296e2	-1.3093002889728716e1	-2.843421766512224e-13
1.7598977349846842e2	-1.365611279437315e1	-7.011219414529335e-13
1.9019963957802392e2	-1.3962144108850698e1	3.158239862406746e-13
1.9019963957802392e2	-1.3962144108850698e1	3.158239862406746e-13
2.0440950565757942e2	-1.4281254171047724e1	3.0888509768822745e-14
2.186193717371349e2	-1.4518293689833165e1	2.114803056293189e-13
2.4703910389624588e2	-1.4763974676072136e1	1.6571653399963617e-13
2.4703910389624588e2	-1.4763974676072136e1	1.6571653399963617e-13
2.4703910389624588e2	-1.4763974676072136e1	1.6571653399963617e-13
2.7545883605535687e2	-1.4986997081712572e1	-6.524126999983625e-13
2.7545883605535687e2	-1.4986997081712572e1	-6.524126999983625e-13
2.7545883605535687e2	-1.4986997081712572e1	-6.524126999983625e-13
3.322983003735788e2	-1.5175729844271777e1	-9.86449619341446e-13
3.322983003735788e2	-1.5175729844271777e1	-9.86449619341446e-13
3.322983003735788e2	-1.5175729844271777e1	-9.86449619341446e-13
3.322983003735788e2	-1.5175729844271777e1	-9.86449619341446e-13
3.322983003735788e2	-1.5175729844271777e1	-9.86449619341446e-13
3.322983003735788e2	-1.5175729844271777e1	-9.86449619341446e-13
3.891377646918007e2	-1.5314668453962222e1	-7.126753358991299e-13
3.891377646918007e2	-1.5314668453962222e1	-7.126753358991299e-13
3.891377646918007e2	-1.5314668453962222e1	-7.126753358991299e-13
3.891377646918007e2	-1.5314668453962222e1	-7.126753358991299e-13
