position	wave function	potential
6.5e0	1e-50	2.24582107580505e4
6.593668550817412e0	5.676871830718083e-49	1.8243202749109274e4
6.687337101634824e0	6.126638401542271e-48	1.4793297508561682e4
6.781005652452237e0	5.221421964286014e-47	1.196629440799165e4
6.874674203269649e0	3.602913458152461e-46	9.647485486163578e3
6.968342754087061e0	2.0504507773569428e-45	7.744103314456747e3
7.062011304904473e0	9.783919752753764e-45	6.1809401777449175e3
7.1556798557218855e0	3.9718767318319696e-44	4.896880788162865e3
7.249348406539298e0	1.3897628084799787e-43	3.842149818803139e3
7.34301695735671e0	4.2398065771579594e-43	2.976120549901236e3
7.436685508174122e0	1.1392463564827003e-42	2.2655653337801496e3
7.530354058991534e0	2.720241909335982e-42	1.683254991787266e3
7.624022609808925e0	5.816187462652161e-42	1.2068345886913798e3
7.7176911606262895e0	1.1207549250599912e-41	8.179187369512478e2
7.811359711443654e0	1.9565269538934934e-41	5.013617563291774e2
7.905028262261029e0	3.1062385875310466e-41	2.4466747827130175e2
7.998696813078417e0	4.49498229708412e-41	3.751086477033626e1
8.092365363895803e0	5.929528652111256e-41	-1.2865061600236635e2
8.186033914713168e0	7.109254010792549e-41	-2.6089338680926664e2
8.279702465530532e0	7.684319205456886e-41	-3.650858985808381e2
8.373371016347896e0	7.352178725109183e-41	-4.4609966523578925e2
8.467039567165264e0	5.964145710774961e-41	-5.0798213104938293e2
8.560708117982676e0	3.6039261255744985e-41	-5.540985430297634e2
8.654376668800088e0	6.055107112572325e-42	-5.872485994782725e2
8.7480452196175e0	-2.502858555351059e-41	-6.097625290346662e2
8.841713770434913e0	-5.116564118309364e-41	-6.23580362151569e2
8.935382321252325e0	-6.701052707370306e-41	-6.303174422806848e2
9.029050872069737e0	-6.924412530946433e-41	-6.31318650376561e2
9.12271942288715e0	-5.739032718802693e-41	-6.277033547803683e2
9.216387973704562e0	-3.3919974636921395e-41	-6.204027264004299e2
9.310056524521974e0	-3.651647680189034e-42	-6.101907583980238e2
9.403725075339386e0	2.735469798607957e-41	-5.977100860939955e2
9.497393626156798e0	5.31065869214945e-41	-5.834935052447553e2
9.59106217697421e0	6.887283072872061e-41	-5.679819262135037e2
9.684730727791623e0	7.201394387221042e-41	-5.51539370721667e2
9.778399278609035e0	6.231842664783216e-41	-5.344655110824276e2
9.872067829426447e0	4.1841115656986427e-41	-5.170061645082343e2
9.96573638024386e0	1.4343801221487384e-41	-4.993620835674089e2
1.0059404931061271e1	-1.5499420665017768e-41	-4.816963251816824e2
1.0153073481878684e1	-4.2953278968180375e-41	-4.641404323212672e2
1.0246742032696096e1	-6.397250856602754e-41	-4.467996228405232e2
1.0340410583513508e1	-7.574386995844218e-41	-4.2975714714673063e2
1.043407913433092e1	-7.696658256188549e-41	-4.1307794934332395e2
1.0527747685148332e1	-6.787204337017076e-41	-3.9681174411091405e2
1.0621416235965745e1	-5.002474786110849e-41	-3.8099560304945726e2
1.0715084786783157e1	-2.5971107461460373e-41	-3.656561288223514e2
1.0810487940393482e1	1.700201149733216e-42	-3.5054112147036705e2
1.0904156491210847e1	2.8714869208114724e-41	-3.3621118345240717e2
1.099782504202821e1	5.26107077604524e-41	-3.2239181485535585e2
1.1091493592845575e1	7.100617909869293e-41	-3.090832448965187e2
1.118516214366294e1	8.227210345444284e-41	-2.962818945493489e2
1.1278830694480304e1	8.560982832749553e-41	-2.8398113562655766e2
1.1372499245297668e1	8.103208786293721e-41	-2.721719261417626e2
1.1466167796115032e1	6.926652965421029e-41	-2.608433412826837e2
1.1559836346932396e1	5.16059813569059e-41	-2.4998301629846904e2
1.165350489774976e1	2.9729917448880777e-41	-2.3957751505809384e2
1.1747173448567125e1	5.5192218289310914e-42	-2.2961263589617198e2
1.184084199938449e1	-1.911776514212035e-41	-2.200736645607735e2
1.1934510550201853e1	-4.239485689534468e-41	-2.1094558255989642e2
1.2028179101019218e1	-6.276524008780273e-41	-2.0221323792326413e2
1.2121847651836582e1	-7.900281074427964e-41	-1.938614843158934e2
1.2215516202653946e1	-9.024790652800486e-41	-1.8587529352750627e2
1.230918475347131e1	-9.60205509473288e-41	-1.782398455906766e2
1.2402853304288675e1	-9.620621269592065e-41	-1.7094060012830582e2
1.2496521855106039e1	-9.102010463864181e-41	-1.6396335197892284e2
1.2590190405923403e1	-8.095634294080596e-41	-1.5729427368072535e2
1.2683858956740767e1	-6.672802410346389e-41	-1.509199469990719e2
1.2777527507558132e1	-4.920362460550067e-41	-1.448273853462304e2
1.2871196058375496e1	-2.934423832997666e-41	-1.3900404865729394e2
1.296486460919286e1	-8.145170787140886e-42	-1.3343785204444316e2
1.3058533160010224e1	1.3415591990619356e-41	-1.281171693465744e2
1.3152201710827589e1	3.4420454738418175e-41	-1.230308325171373e2
1.3245870261644953e1	5.404605607194394e-41	-1.1816812764514118e2
1.3339538812462317e1	7.158779023964785e-41	-1.1351878827870856e2
1.3433207363279681e1	8.647543958538461e-41	-1.0907298661391536e2
1.3526875914097046e1	9.828072960982155e-41	-1.0482132302111378e2
1.362054446491441e1	1.0671786604331474e-40	-1.007548143040629e2
1.3714213015731774e1	1.1163824687258566e-40	-9.686488102195764e1
1.3807881566549138e1	1.1302058244457329e-40	-9.314333414910101e1
1.3901550117366503e1	1.1095762449712725e-40	-8.958236130003999e1
1.3998687873769708e1	1.0538453718905543e-40	-8.605114308389024e1
1.4095825630172925e1	9.661815174200765e-41	-8.267669109300776e1
1.4192963386576142e1	8.503794073487211e-41	-7.945147854732171e1
1.429010114297936e1	7.107684514815013e-41	-7.636834814874473e1
1.4387238899382577e1	5.520205500983587e-41	-7.342049564685585e1
1.4484376655785795e1	3.789739838613807e-41	-7.060145376259534e1
1.4581514412189012e1	1.9647694387040274e-41	-6.79050765325815e1
1.467865216859223e1	9.252794360899506e-43	-6.532552412097225e1
1.4775789924995447e1	-1.782120704426906e-41	-6.285724813277699e1
1.4872927681398664e1	-3.617579112514285e-41	-6.049497745175854e1
1.4970065437801882e1	-5.376197816533132e-41	-5.823370461720334e1
1.50672031942051e1	-7.02475602675062e-41	-5.606867274658035e1
1.5164340950608317e1	-8.53476050812981e-41	-5.39953630052045e1
1.5261478707011534e1	-9.882583764583786e-41	-5.200948261925351e1
1.5358616463414752e1	-1.1049463827527272e-40	-5.0106953424676426e1
1.5455754219817969e1	-1.202138806162149e-40	-4.828390094152409e1
1.5552891976221186e1	-1.2788882725881224e-40	-4.653664396089434e1
1.5650029732624404e1	-1.3346728772469809e-40	-4.4861684629908474e1
1.5747167489027621e1	-1.369362270698342e-40	-4.325569901882547e1
1.5844305245430839e1	-1.3831799423047046e-40	-4.1715528153477344e1
1.5941443001834056e1	-1.3766631883757814e-40	-4.023816949560629e1
1.6038580758237263e1	-1.350622045079614e-40	-3.8820768853343566e1
1.6135718514640455e1	-1.3060982634171647e-40	-3.746061270394412e1
1.6232856271043648e1	-1.2443252107164253e-40	-3.615512091094083e1
1.632999402744684e1	-1.1666894040735806e-40	-3.490183981807078e1
1.6427131783850033e1	-1.0746942184337567e-40	-3.3698435702624884e1
1.6524269540253226e1	-9.699261668939901e-41	-3.254268857126183e1
1.6621407296656418e1	-8.540240237771953e-41	-3.1432486281781053e1
1.671854505305961e1	-7.286509518250197e-41	-3.036581897485525e1
1.6815682809462803e1	-5.954697027421196e-41	-2.934077380026431e1
1.6912820565865996e1	-4.5612088419520167e-41	-2.835552992273915e1
1.700995832226919e1	-3.1220422489955377e-41	-2.740835379310577e1
1.710709607867238e1	-1.6526272115289759e-41	-2.649759467100877e1
1.7204233835075573e1	-1.676951159530254e-42	-2.5621680386083735e1
1.7301371591478766e1	1.31882699416529e-41	-2.4779113325033816e1
1.739850934788196e1	2.7938986707512037e-41	-2.3968466632643374e1
1.749564710428515e1	4.2454268754043227e-41	-2.3188380615327446e1
1.7592784860688344e1	5.662307471498542e-41	-2.2437559336367805e1
1.7696861028263204e1	7.130501836947195e-41	-2.1664180483934885e1
1.779399878466642e1	8.444673232436752e-41	-2.0970114297730483e1
1.789113654106964e1	9.696450595239937e-41	-2.0301697973577248e1
1.7988274297472856e1	1.0878857209607815e-40	-1.9657863641284212e1
1.8085412053876073e1	1.1985892277993456e-40	-1.903759251604871e1
1.818254981027929e1	1.3012497623321304e-40	-1.843991245421433e1
1.8279687566682508e1	1.3954518081642546e-40	-1.786389563821946e1
1.8376825323085725e1	1.4808656933296235e-40	-1.7308656383676418e1
1.8473963079488943e1	1.5572427584404111e-40	-1.6773349061903104e1
1.857110083589216e1	1.6244102577712102e-40	-1.6257166131592925e1
1.8668238592295378e1	1.6822660884267644e-40	-1.5759336273653995e1
1.8765376348698595e1	1.730773430652525e-40	-1.5279122623576992e1
1.8862514105101813e1	1.7699553710133632e-40	-1.4815821096001962e1
1.895965186150503e1	1.799889569645443e-40	-1.4368758796449619e1
1.9056789617908247e1	1.8207030231115728e-40	-1.3937292515461914e1
1.9153927374311465e1	1.8325669655682263e-40	-1.3520807300661195e1
1.9251065130714682e1	1.8356919429756357e-40	-1.3118715102487588e1
1.93482028871179e1	1.8303230879255996e-40	-1.2730453489610689e1
1.9445340643521117e1	1.816735616292943e-40	-1.235548443023553e1
1.9542478399924335e1	1.795230561292899e-40	-1.1993293135733888e1
1.9639616156327552e1	1.7661307556040784e-40	-1.1643386963231801e1
1.973675391273077e1	1.729777067943308e-40	-1.1305294373972451e1
1.9833891669133987e1	1.686524896805073e-40	-1.0978563944451663e1
1.9931029425537204e1	1.6367409209527862e-40	-1.0662763427490997e1
2.002816718194042e1	1.5808001036208605e-40	-1.0357478860572055e1
2.012530493834364e1	1.5190829452060662e-40	-1.0062313718904894e1
2.0222442694746857e1	1.4519729774488801e-40	-9.776888110844615e0
2.0319580451150074e1	1.3798544906835506e-40	-9.500838013403088e0
2.041671820755329e1	1.3031104846294544e-40	-9.233814545728283e0
2.051385596395651e1	1.222120832366503e-40	-8.975483278541853e0
2.0610993720359726e1	1.1372606465480882e-40	-8.725523577637295e0
2.0708131476762944e1	1.0488988365245963e-40	-8.483627979646078e0
2.080526923316616e1	9.57396844847303e-41	-8.249501598378384e0
2.090240698956938e1	8.631075515711426e-41	-8.022861560138551e0
2.0999544745972596e1	7.663743348505151e-41	-7.803436466503568e0
2.1096682502375813e1	6.675302765032229e-41	-7.590965883136063e0
2.119382025877903e1	5.668975014851082e-41	-7.385199853281657e0
2.1290958015182248e1	4.647866405542864e-41	-7.185898434674496e0
2.1388095771585466e1	3.6149640579494647e-41	-6.992831258644494e0
2.1485233527988683e1	2.5731326910300497e-41	-6.805777110285623e0
2.15823712843919e1	1.5251123419804284e-41	-6.624523528606548e0
2.1679509040795118e1	4.7351693208848904e-42	-6.448866425643501e0
2.1776646797198335e1	-5.791664062541954e-42	-6.278609723570409e0
2.1873784553601553e1	-1.6305773209649516e-41	-6.113565008893408e0
2.197092231000477e1	-2.6784816246977227e-41	-5.953551202865995e0
2.2068060066407988e1	-3.72077014194358e-41	-5.79839424730744e0
2.2165197822811205e1	-4.755457083626244e-41	-5.647926805050815e0
2.2262335579214422e1	-5.78067800930983e-41	-5.501987974288309e0
2.2373350157960957e1	-6.938534268051361e-41	-5.3405477512330854e0
2.248436473670749e1	-8.079330892240765e-41	-5.18459896988803e0
2.2595379315454025e1	-9.200840473154887e-41	-5.033929651502789e0
2.270639389420056e1	-1.0301021842917484e-40	-4.8883369498540015e0
2.2817408472947093e1	-1.1378013440133824e-40	-4.747626718077196e0
2.2928423051693628e1	-1.2430126393184196e-40	-4.611613097856025e0
2.3039437630440162e1	-1.3455837399403626e-40	-4.480118129726214e0
2.3150452209186696e1	-1.4453781469536852e-40	-4.352971383325254e0
2.326146678793323e1	-1.5422744598690375e-40	-4.2300096064878945e0
2.3372481366679764e1	-1.6361656417486192e-40	-4.111076392152213e0
2.34834959454263e1	-1.7269582870226586e-40	-3.996021862101741e0
2.3594510524172833e1	-1.814571896057889e-40	-3.8847023666260747e0
2.3705525102919367e1	-1.898938159955338e-40	-3.776980199235795e0
2.38165396816659e1	-1.98000025853422e-40	-3.672723325617671e0
2.3927554260412435e1	-2.057712173987955e-40	-3.57180512606316e0
2.403856883915897e1	-2.1320380222746995e-40	-3.474104150647383e0
2.4149583417905504e1	-2.2029514039238706e-40	-3.3795038864772367e0
2.4260597996652038e1	-2.270434775600238e-40	-3.2878925363662455e0
2.4371612575398572e1	-2.3344788434635217e-40	-3.199162808330343e0
2.4482627154145106e1	-2.3950819790929682e-40	-3.1132117153331706e0
2.459364173289164e1	-2.4522496585086913e-40	-3.0299403847417516e0
2.4704656311638175e1	-2.505993924612871e-40	-2.9492538769838137e0
2.481567089038471e1	-2.556332873191371e-40	-2.8710610129265337e0
