energy	bound difference	node count
-2e0	3.587386660900106e-5	1.6e1
-1.9959919839679356e0	3.6036079948458964e-5	1.6e1
-1.9919839679358717e0	3.7545077189715415e-5	1.6e1
-1.9879759519038076e0	4.049328642977887e-5	1.6e1
-1.9839679358717437e0	4.0072755797583595e-5	1.6e1
-1.9799599198396793e0	4.1773988058794845e-5	1.6e1
-1.9759519038076154e0	4.153705601691553e-5	1.6e1
-1.971943887775551e0	4.18860461908889e-5	1.6e1
-1.9679358717434867e0	4.5176301496955266e-5	1.6e1
-1.9639278557114228e0	4.560959889551283e-5	1.6e1
-1.9599198396793587e0	4.6074230489415524e-5	1.6e1
-1.9559118236472948e0	4.810307287527887e-5	1.6e1
-1.9519038076152304e0	4.864562575809903e-5	1.6e1
-1.9478957915831665e0	4.922115077259993e-5	1.6e1
-1.9438877755511021e0	5.022859650395e-5	1.6e1
-1.9398797595190378e0	5.416062239820365e-5	1.6e1
-1.9358717434869739e0	5.487610922549134e-5	1.6e1
-1.9318637274549098e0	5.5627853307321254e-5	1.6e1
-1.9278557114228458e0	5.470579069724637e-5	1.6e1
-1.9238476953907815e0	5.811941598833473e-5	1.6e1
-1.9198396793587176e0	5.899379520759453e-5	1.6e1
-1.9158316633266532e0	6.172678598686493e-5	1.6e1
-1.9118236472945893e0	6.270215508744898e-5	1.6e1
-1.907815631262525e0	6.348427525648575e-5	1.6e1
-1.9038076152304608e0	6.567160340019681e-5	1.6e1
-1.899799599198397e0	6.728894139527201e-5	1.6e1
-1.8957915831663326e0	6.846545594227089e-5	1.6e1
-1.8917835671342687e0	6.768339383821995e-5	1.6e1
-1.8877755511022043e0	6.89258888283242e-5	1.6e1
-1.8837675350701404e0	7.02157292182585e-5	1.6e1
-1.8797595190380763e0	7.72190449463248e-5	1.6e1
-1.875751503006012e0	7.432270105901042e-5	1.6e1
-1.871743486973948e0	7.688370673480073e-5	1.6e1
-1.8677354709418836e0	7.84211153379045e-5	1.6e1
-1.8637274549098197e0	8.001329218621927e-5	1.6e1
-1.8597194388777554e0	8.568105910346539e-5	1.6e1
-1.8557114228456915e0	8.26800328421088e-5	1.6e1
-1.8517034068136273e0	8.444401290229144e-5	1.6e1
-1.847695390781563e0	8.807934756335378e-5	1.6e1
-1.843687374749499e0	9.00041276891314e-5	1.6e1
-1.8396793587174347e0	9.199397174543894e-5	1.6e1
-1.8356713426853708e0	9.148048477906376e-5	1.6e1
-1.8316633266533064e0	9.965537333658453e-5	1.6e1
-1.8276553106212425e0	9.64514177663304e-5	1.6e1
-1.8236472945891784e0	1.037665284050969e-4	1.6e1
-1.8196392785571145e0	1.0618186267280825e-4	1.6e1
-1.8156312625250501e0	1.0287879402623388e-4	1.6e1
-1.8116232464929858e0	1.0781577090016706e-4	1.6e1
-1.8076152304609219e0	1.1118033846727698e-4	1.6e1
-1.8036072144288577e0	1.1667088004824987e-4	1.6e1
-1.7995991983967936e0	1.131506789356326e-4	1.6e1
-1.7955911823647295e0	1.1284766972790364e-4	1.6e1
-1.7915831663326656e0	1.1855164160881156e-4	1.6e1
-1.7875751503006012e0	1.2156301964384786e-4	1.6e1
-1.7835671342685369e0	1.2786275317714307e-4	1.6e1
-1.779559118236473e0	1.2417682593052808e-4	1.6e1
-1.7755511022044088e0	1.3437486463078926e-4	1.6e1
-1.771543086172345e0	1.287786084225262e-4	1.6e1
-1.7675350701402806e0	1.3571608952820302e-4	1.6e1
-1.7635270541082166e0	1.3928949366268697e-4	1.6e1
-1.7595190380761523e0	1.430256446144995e-4	1.6e1
-1.755511022044088e0	1.5105817984377087e-4	1.6e1
-1.751503006012024e0	1.4683560815123586e-4	1.6e1
-1.74749498997996e0	1.552061476855544e-4	1.6e1
-1.743486973947896e0	1.5093554531451185e-4	1.6e1
-1.7394789579158316e0	1.5530326311829096e-4	1.6e1
-1.7354709418837677e0	1.6443845536563006e-4	1.6e1
-1.7314629258517034e0	1.6217565323552185e-4	1.6e1
-1.7274549098196395e0	1.7185418151294921e-4	1.6e1
-1.723446893787575e0	1.7236714876480924e-4	1.6e1
-1.719438877755511e0	1.8365626793304395e-4	1.6e1
-1.715430861723447e0	1.7858728432900003e-4	1.6e1
-1.7114228456913827e0	1.8973726506992417e-4	1.6e1
-1.7074148296593188e0	1.9063619954557976e-4	1.6e1
-1.7034068136272544e0	1.9075202156594256e-4	1.6e1
-1.6993987975951903e0	1.9175071727026767e-4	1.6e1
-1.6953907815631264e0	2.0416819098864364e-4	1.6e1
-1.691382765531062e0	2.0544002402850936e-4	1.6e1
-1.6873747494989981e0	2.1917359583523784e-4	1.6e1
-1.6833667334669338e0	2.1928636327974845e-4	1.6e1
-1.6793587174348699e0	2.1770474193141484e-4	1.6e1
-1.6753507014028055e0	2.2420094719611438e-4	1.6e1
-1.6713426853707414e0	2.3972125209922561e-4	1.6e1
-1.6673346693386775e0	2.4177603328631164e-4	1.6e1
-1.6633266533066133e0	2.439271041148325e-4	1.6e1
-1.6593186372745492e0	2.4990363836120677e-4	1.6e1
-1.6553106212424848e0	2.681412089761971e-4	1.6e1
-1.651302605210421e0	2.7085982086235425e-4	1.6e1
-1.6472945891783566e0	2.628412919973124e-4	1.6e1
-1.6432865731462927e0	2.737808077095883e-4	1.6e1
-1.6392785571142285e0	2.76743718110992e-4	1.6e1
-1.6352705410821644e0	2.798209799807393e-4	1.6e1
-1.6312625250501003e0	2.830147308835984e-4	1.6e1
-1.6272545090180361e0	3.0478900141772106e-4	1.6e1
-1.623246492985972e0	2.9894536916241755e-4	1.6e1
-1.6192384769539079e0	3.3217494399955574e-4	1.6e1
-1.6152304609218437e0	3.365446334205283e-4	1.6e1
-1.6112224448897796e0	3.525983092581158e-4	1.6e1
-1.6072144288577155e0	3.574708429328329e-4	1.6e1
