mass scale factor	scattering length real	scattering length imag
8e-1	-6.064742157028188e-1	4.672860919305858e-13
8.020100502512564e-1	-4.750543167882439e0	-6.739147459996596e-13
8.040201005025126e-1	-1.0007818683985008e1	1.2754219952109235e-12
8.060301507537689e-1	-1.7141358577499943e1	4.1483520296799455e-13
8.080402010050252e-1	-2.7869988495162822e1	-6.39115271833227e-13
8.100502512562815e-1	-4.707499633945163e1	2.944886471654611e-13
8.120603015075377e-1	-9.646050255087003e1	-1.6562778142357459e-12
8.14070351758794e-1	-7.412076045058044e2	1.0071105855117909e-12
8.160804020100503e-1	1.4338030144863404e2	8.016316445509389e-13
8.180904522613066e-1	6.415405566867979e1	5.910624738561763e-13
8.201005025125628e-1	3.884740114711626e1	5.680760125857199e-13
8.221105527638192e-1	2.5148991454685206e1	1.4553664558814576e-13
8.241206030150754e-1	1.5670385212835498e1	-1.2357485566919632e-13
8.261306532663317e-1	8.046012343129782e0	1.5835205261096842e-12
8.28140703517588e-1	1.2417715586064257e0	-9.785455777257754e-13
8.301507537688443e-1	-5.301993339400578e0	1.422893178372815e-12
8.321608040201005e-1	-1.1961380370486815e1	1.0986824017318572e-12
8.341708542713568e-1	-1.9048016224808585e1	-1.6823193963691284e-12
8.361809045226131e-1	-2.6876168353915986e1	-3.399441241245915e-13
8.381909547738694e-1	-3.581693001478466e1	-1.5019990537831857e-13
8.402010050251256e-1	-4.63621287926271e1	1.0357063447483871e-13
8.42211055276382e-1	-5.922251025902042e1	-1.855480860694539e-13
8.442211055276382e-1	-7.550413736607787e1	-7.592397696817697e-13
8.462311557788945e-1	-9.706336185574075e1	-7.571948257116495e-14
8.482412060301507e-1	-1.2730785836827815e2	1.6006913640724309e-12
8.502512562814071e-1	-1.7328303321050865e2	3.3221065176164644e-13
8.522613065326634e-1	-2.5235254976083044e2	8.2928393884162e-13
8.542713567839196e-1	-4.219755955746946e2	-6.238582577099662e-13
8.56281407035176e-1	-1.0546104669046294e3	-1.711415803575481e-13
8.582914572864322e-1	2.9851386199075923e3	7.60238804328997e-13
8.603015075376885e-1	6.648399729410993e2	-7.329065858455773e-13
8.623115577889447e-1	3.8783099814891614e2	1.1463095440940584e-12
8.643216080402011e-1	2.7987916440052555e2	-7.373759615096166e-14
8.663316582914573e-1	2.2221714951236447e2	5.5075929503915875e-14
8.683417085427136e-1	1.86242527698874e2	-1.922680149094001e-12
8.703517587939699e-1	1.6157273796600273e2	9.642001321409835e-13
8.723618090452262e-1	1.4355211397933502e2	-6.979334180653908e-13
8.743718592964824e-1	1.297700918629348e2	-1.2385224266900256e-12
8.763819095477388e-1	1.1885414521600202e2	6.525084774369883e-13
8.78391959798995e-1	1.0996820506310084e2	-5.650150882146315e-13
8.804020100502513e-1	1.0257382678216466e2	1.2803538334798448e-12
8.824120603015075e-1	9.630581664191014e1	-1.1621062394938939e-12
8.844221105527639e-1	9.090998046843141e1	3.2347237796207e-13
8.864321608040201e-1	8.620183972234004e1	-8.178660688070185e-13
8.884422110552764e-1	8.204637620328538e1	7.263242534823873e-13
8.904522613065327e-1	7.834120200024937e1	6.693117186747049e-13
8.92462311557789e-1	7.500752082438734e1	-9.284415518621327e-13
8.944723618090452e-1	7.198365418734889e1	5.49514472878928e-13
8.964824120603015e-1	6.922062450420667e1	-1.9473626715635853e-13
8.984924623115578e-1	6.667899684571141e1	-8.308478937767958e-13
9.005025125628141e-1	6.432644092878954e1	-1.5886126518988254e-12
9.025125628140704e-1	6.2136944376906186e1	-1.69738673493065e-12
9.045226130653267e-1	6.0088447339189074e1	5.555346752549181e-13
9.065326633165829e-1	5.816208521044257e1	-6.683619758985431e-14
9.085427135678392e-1	5.634221909411854e1	-1.3016396049237412e-12
9.105527638190956e-1	5.461581435376228e1	-1.516552400809313e-12
9.125628140703518e-1	5.2971309267258704e1	-9.796147277918295e-13
9.145728643216081e-1	5.139839203070116e1	3.94576851466943e-13
9.165829145728643e-1	4.98883239384411e1	-3.093940581185083e-13
9.185929648241207e-1	4.8433665159575625e1	7.517103516474859e-13
9.206030150753769e-1	4.702742052527497e1	-1.0400093886841911e-13
9.226130653266332e-1	4.5663446692954565e1	-6.475006345716237e-13
9.246231155778895e-1	4.433620142239371e1	-1.1906113171116344e-12
9.266331658291458e-1	4.304076849492011e1	-7.38622273116746e-13
9.28643216080402e-1	4.177215567096389e1	-9.166334756565423e-14
9.306532663316583e-1	4.052643118552169e1	1.0676798700912425e-12
9.326633165829146e-1	3.929958434983641e1	5.247358799747678e-13
9.346733668341709e-1	3.8087594418564095e1	-7.285875784808659e-15
9.366834170854271e-1	3.688696090834633e1	3.7388327499866304e-13
9.386934673366835e-1	3.569408309574347e1	-1.2176842173669531e-12
9.407035175879397e-1	3.450577067270262e1	1.226662835980431e-13
9.42713567839196e-1	3.3318659178300365e1	1.0043672157594318e-12
9.447236180904524e-1	3.212916288338133e1	-1.3873259065035054e-12
9.467336683417086e-1	3.093398584164457e1	9.021356117170282e-13
9.487437185929648e-1	2.9729637225467194e1	1.2529530881950617e-12
9.507537688442211e-1	2.8512500834984884e1	1.9460184571453924e-13
9.527638190954775e-1	2.7278780587499927e1	-5.271699934321064e-13
9.547738693467337e-1	2.602444592462216e1	-7.778241443259575e-13
9.567839195979899e-1	2.474516712765132e1	1.0810820543149927e-14
9.587939698492463e-1	2.3436240576570686e1	-5.889467264579814e-13
9.608040201005026e-1	2.2092502928339748e1	8.291333656099413e-13
9.628140703517588e-1	2.070808752816671e1	7.639352421687934e-13
9.64824120603015e-1	1.9276955893693884e1	7.154390909411471e-13
9.668341708542714e-1	1.7791279431074155e1	6.899419545409755e-13
9.688442211055277e-1	1.624325512680542e1	-4.615964833215429e-13
9.708542713567839e-1	1.4622624754385987e1	1.260366061045019e-12
9.728643216080403e-1	1.2918492947847716e1	-8.82671212105505e-13
9.748743718592965e-1	1.1117279645864174e1	-7.774687200761922e-13
9.768844221105528e-1	9.202880024055442e0	1.5694013480278662e-12
9.78894472361809e-1	7.1557244562449505e0	-5.390571819294648e-13
9.809045226130654e-1	4.951700101637413e0	7.875929354931346e-13
9.829145728643216e-1	2.560631911613412e0	5.109566865021948e-13
9.849246231155779e-1	-5.5913607723488336e-2	-4.126317725373739e-13
9.869346733668342e-1	-2.94782462625377e0	-2.863616554455597e-14
9.889447236180905e-1	-6.18134161159035e0	-4.947393025900441e-13
9.909547738693467e-1	-9.846661609436751e0	-1.0609399143728645e-13
9.92964824120603e-1	-1.406992742905811e1	1.219610385268011e-12
9.949748743718594e-1	-1.9036043701882555e1	5.911459906410523e-13
9.969849246231156e-1	-2.5024175464287023e1	-1.2787717627279682e-13
9.989949748743718e-1	-3.2483116274708856e1	-6.553533739375622e-13
1.0010050251256282e0	-4.2180026209358275e1	-1.3637099608871346e-12
1.0030150753768845e0	-5.555860060903517e1	-8.206309122728105e-13
1.0050251256281406e0	-7.5707101178806e1	-1.9851218104897762e-13
1.007035175879397e0	-1.106349331196274e2	-3.85154236785959e-13
1.0090452261306533e0	-1.897378130158326e2	3.069076040642942e-13
