position	channel_1	channel_2
6.50688321718187e0	1.0362760307867603e-50	7.620395310413986e-57
6.514225315509198e0	1.1199166479419603e-50	3.2408835007905865e-56
6.521567413836526e0	1.2528493736806077e-50	7.68387822360243e-56
6.528909512163854e0	1.4400280766752043e-50	1.4494150913365251e-55
6.536251610491182e0	1.688543758018273e-50	2.4252025574491444e-55
6.54359370881851e0	2.0078134597086717e-50	3.774591388516964e-55
6.550935807145838e0	2.4098492681832015e-50	5.601371719782915e-55
6.558277905473166e0	2.909611206171949e-50	8.039621113002287e-55
6.565620003800494e0	3.525450437103037e-50	1.1260434365741977e-54
6.572962102127822e0	4.279651753952417e-50	1.5480287743638654e-54
6.58030420045515e0	5.19908687632452e-50	2.0971336292175343e-54
6.587646298782478e0	6.315992710159703e-50	2.8074005631730597e-54
6.594988397109806e0	7.668891499083245e-50	3.721231115823787e-54
6.602330495437134e0	9.30367277403846e-50	4.891241955942091e-54
6.609672593764462e0	1.1274860243449213e-49	6.382506183821454e-54
6.61701469209179e0	1.3647090312338195e-49	8.275251559682189e-54
6.624356790419118e0	1.6496832827266994e-49	1.0668099935659494e-53
6.631698888746446e0	1.9914388966304138e-49	1.3681946557363177e-53
6.639040987073774e0	2.4006205982049123e-49	1.7464594441484597e-53
6.646383085401102e0	2.889755381509202e-49	2.2196278022494446e-53
6.65372518372843e0	3.47356144811179e-49	2.809623201949608e-53
6.661067282055758e0	4.169304165564862e-49	3.543048636366718e-53
6.668409380383086e0	4.997205509701709e-49	4.452109644468486e-53
6.675751478710414e0	5.980914252444755e-49	5.575705031912572e-53
6.683093577037742e0	7.148045037087053e-49	6.9607131357037085e-53
6.6904356753650704e0	8.530795452884198e-49	8.6635056613618e-53
6.6977777736923985e0	1.0166651287558537e-48	1.0751725858104855e-52
6.7051198720197265e0	1.2099191307514947e-48	1.3306373153432028e-52
6.7124619703470545e0	1.437900419902715e-48	1.6424242412510855e-52
6.7198040686743825e0	1.7064731707464378e-48	2.022077279505385e-52
6.7271461670017105e0	2.0224253544101432e-48	2.4833368834411564e-52
6.7340293841835805e0	2.3686217937024968e-48	3.004358577368695e-52
6.741371482510909e0	2.7997735138328966e-48	3.67287175425148e-52
6.748713580838237e0	3.3049499060394915e-48	4.480031124155113e-52
6.756055679165565e0	3.896062128538884e-48	5.4526200104690325e-52
6.763397777492893e0	4.5868027916359014e-48	6.6222259929471814e-52
6.770739875820221e0	5.392890814894269e-48	8.026036637532454e-52
6.778081974147549e0	6.332346712871578e-48	9.707755863582272e-52
6.785424072474877e0	7.425801640656509e-48	1.1718657466030145e-51
6.792766170802205e0	8.696843836958715e-48	1.4118794308969434e-51
6.800108269129533e0	1.0172406430233617e-47	1.6978383911887562e-51
6.807450367456861e0	1.188320092293535e-47	2.0379393576868974e-51
6.814792465784189e0	1.3864201041111827e-47	2.441735087193629e-51
6.822134564111517e0	1.6155182031687173e-47	2.920340821041762e-51
6.829476662438845e0	1.8801320908317542e-47	3.486669346763747e-51
6.836818760766173e0	2.1853863588983596e-47	4.155698207389774e-51
6.844160859093501e0	2.537086533463804e-47	4.944772983673468e-51
6.851502957420829e0	2.941801138827885e-47	5.873950989648377e-51
6.858845055748157e0	3.406952522757923e-47	6.966390172829313e-51
6.866187154075485e0	3.9409172381399153e-47	8.248788499247621e-51
6.873529252402813e0	4.55313683204714e-47	9.751879632493443e-51
6.880871350730141e0	5.25423995146203e-47	1.151099128722448e-50
6.888213449057469e0	6.056176735195695e-47	1.3566673253345976e-50
6.895555547384797e0	6.972366523826773e-47	1.5965402749402617e-50
6.902897645712125e0	8.017859983580625e-47	1.876037547477051e-50
6.910239744039453e0	9.209516805792385e-47	2.201239149200611e-50
6.917581842366781e0	1.0566200210728938e-46	2.5790845885157794e-50
6.924923940694109e0	1.2108989552831003e-46	3.0174835008807037e-50
6.932266039021437e0	1.386141239357566e-46	3.5254390067745893e-50
6.939608137348765e0	1.5849697477845831e-46	4.113185075009309e-50
6.946950235676093e0	1.8103050119540264e-46	4.792339267858108e-50
6.954292334003421e0	2.065395157176467e-46	5.576072354681815e-50
6.960716670039833e0	2.3158343676398925e-46	6.35930237389995e-50
6.968058768367161e0	2.6367500527674283e-46	7.380840647439762e-50
6.975400866694489e0	2.998889693657814e-46	8.555265196971569e-50
6.982742965021817e0	3.4071033212370505e-46	9.903732776384854e-50
6.990085063349145e0	3.86675445792605e-46	1.1450078386687998e-49
6.997427161676473e0	4.383767682026031e-46	1.3221120578980739e-49
7.004769260003801e0	4.964679850267275e-46	1.5246997320477079e-49
7.012111358331129e0	5.616695184031706e-46	1.7561534990965854e-49
7.019453456658457e0	6.347744429048574e-46	2.020265324005245e-49
7.026795554985785e0	7.166548302005887e-46	2.321280860355799e-49
7.034137653313113e0	8.082685440413047e-46	2.6639479950109176e-49
7.041479751640441e0	9.106665074123197e-46	3.0535699005832098e-49
7.048821849967769e0	1.0250004638069757e-45	3.4960629385579474e-49
7.056163948295097e0	1.152531254590797e-45	3.998019774269631e-49
7.063506046622425e0	1.2946376343272917e-45	4.566778083523646e-49
7.070848144949753e0	1.4528256457166654e-45	5.210495249397549e-49
7.078190243277081e0	1.62873857544936e-45	5.938229466573956e-49
7.085532341604409e0	1.8241675117831446e-45	6.760027689336615e-49
7.099757657113594e0	2.2657806995478096e-45	8.662551859111806e-49
7.114441853768236e0	2.823377516196671e-45	1.1141761488538159e-48
7.129126050422878e0	3.504905094413108e-45	1.4269296687302052e-48
7.1438102470775195e0	4.334721094589622e-45	1.8198049849680092e-48
